Time (s),Channel 2 (V)
-0.2559738247863248,-0.0069945108746122947
-0.25591132478632478,1.3269787856954502
-0.25584882478632481,3.333390937481556
-0.25578632478632479,3.3115821097456433
-0.25572382478632477,3.3079473051228394
-0.25566132478632481,3.3079473051228394
-0.25559882478632479,3.3079473051228394
-0.25553632478632482,3.3079473051228394
-0.2554738247863248,3.3079473051228394
-0.25541132478632478,2.1411750212016951
-0.25534882478632481,-0.032438143233253225
-0.25528632478632479,-0.0069945108746122947
-0.25522382478632477,-0.0033597062518080714
-0.25516132478632481,-0.0033597062518080714
-0.25509882478632478,-0.0033597062518080714
-0.25503632478632482,-0.0033597062518080714
-0.2549738247863248,-0.0033597062518080714
-0.25491132478632478,1.1488733591781257
-0.25484882478632481,3.3370257421042777
-0.25478632478632479,3.3152169143684476
-0.25472382478632477,3.3115821097456415
-0.25466132478632481,3.3079473051228394
-0.25459882478632478,3.3115821097456433
-0.25453632478632482,3.3115821097456433
-0.2544738247863248,3.3115821097456433
-0.25441132478632478,2.2393147460173646
-0.25434882478632481,-0.032438143233208816
-0.25428632478632479,-0.0069945108746122947
-0.25422382478632477,-0.0033597062518080714
-0.2541613247863248,-0.0033597062518080714
-0.25409882478632478,-0.0033597062518080714
-0.25403632478632482,-0.0033597062518080714
-0.2539738247863248,-0.0033597062518080714
-0.25391132478632478,0.98894195577481436
-0.25384882478632481,3.3406605467270083
-0.25378632478632479,3.3115821097456433
-0.25372382478632477,3.3115821097456415
-0.2536613247863248,3.3079473051228394
-0.25359882478632478,3.3079473051228394
-0.25353632478632482,3.3079473051228394
-0.2534738247863248,3.3079473051228394
-0.25341132478632478,2.3665329078154529
-0.25334882478632481,-0.036072947855953608
-0.25328632478632479,-0.0069945108746122947
-0.25322382478632477,-0.0033597062518080714
-0.2531613247863248,-0.0033597062518080714
-0.25309882478632478,-0.0033597062518080714
-0.25303632478632482,-0.0033597062518080714
-0.2529738247863248,-0.0033597062518080714
-0.25291132478632478,0.87262820784513206
-0.25284882478632481,3.340660546726955
-0.25278632478632479,3.3152169143684476
-0.25272382478632477,3.3115821097456415
-0.2526613247863248,3.3079473051228394
-0.25259882478632478,3.3115821097456433
-0.25253632478632482,3.3115821097456433
-0.2524738247863248,3.3115821097456433
-0.25241132478632478,2.56281235744679
-0.25234882478632481,-0.039707752478666869
-0.25228632478632479,-0.0069945108746122947
-0.25222382478632477,-0.0033597062518080714
-0.2521613247863248,-0.0033597062518080714
-0.25209882478632478,-0.0033597062518080714
-0.25203632478632482,-0.0033597062518080714
-0.2519738247863248,-0.0033597062518080714
-0.25191132478632478,0.69815758595061195
-0.25184882478632481,3.347930155972481
-0.25178632478632479,3.3152169143684476
-0.25172382478632477,3.3115821097456433
-0.2516613247863248,3.3115821097456433
-0.25159882478632478,3.3115821097456433
-0.25153632478632482,3.3115821097456433
-0.2514738247863248,3.3115821097456433
-0.25141132478632477,2.6827609099992746
-0.25134882478632481,-0.039707752478612246
-0.25128632478632479,-0.0069945108746122947
-0.25122382478632477,-0.0033597062518080714
-0.2511613247863248,-0.0033597062518080714
-0.25109882478632478,-0.0033597062518080714
-0.25103632478632482,0.00027509837099449911
-0.2509738247863248,-0.0033597062518080714
-0.25091132478632477,0.54913059641570661
-0.25084882478632481,3.3479301559724131
-0.25078632478632479,3.3152169143684476
-0.25072382478632477,3.3079473051228394
-0.2506613247863248,3.3079473051228394
-0.25059882478632478,3.3115821097456433
-0.25053632478632482,3.3079473051228412
-0.25047382478632479,3.3115821097456433
-0.25041132478632477,2.8863099688762173
-0.25034882478632481,-0.043342557102654528
-0.25028632478632479,-0.010629315497416518
-0.25022382478632477,-0.0033597062518080714
-0.2501613247863248,-0.0033597062518080714
-0.25009882478632478,-0.0033597062518080714
-0.25003632478632482,0.00027509837099449911
-0.24997382478632479,-0.0033597062518080714
-0.2499113247863248,0.34194673291459315
-0.24984882478632481,3.3515649605964901
-0.24978632478632479,3.3188517189912519
-0.24972382478632479,3.3115821097456433
-0.2496613247863248,3.3115821097456433
-0.24959882478632481,3.3115821097456433
-0.24953632478632479,3.3115821097456433
-0.24947382478632479,3.3115821097456433
-0.2494113247863248,3.0498761769037395
-0.24934882478632481,-0.046977361725458751
-0.24928632478632479,-0.010629315497416518
-0.24922382478632479,-0.0033597062518080714
-0.2491613247863248,-0.0033597062518080714
-0.24909882478632481,-0.0033597062518080714
-0.24903632478632479,-0.0033597062518080714
-0.24897382478632479,-0.0033597062518080714
-0.2489113247863248,0.20382415724803266
-0.24884882478632481,3.3515649605964901
-0.24878632478632479,3.3152169143684476
-0.24872382478632479,3.3115821097456433
-0.2486613247863248,3.3079473051228394
-0.24859882478632481,3.3079473051228394
-0.24853632478632479,3.3079473051228394
-0.24847382478632479,3.3079473051228394
-0.2484113247863248,3.2243467987983423
-0.24834882478632481,-0.050612166348262974
-0.24828632478632479,-0.010629315497416518
-0.24822382478632479,-0.0033597062518080714
-0.2481613247863248,-0.0033597062518080714
-0.24809882478632481,-0.0033597062518080714
-0.24803632478632479,-0.0033597062518080714
-0.24797382478632479,-0.0033597062518080714
-0.2479113247863248,0.025718730730625715
-0.24784882478632481,3.355199765219294
-0.24778632478632479,3.3188517189912519
-0.24772382478632479,3.3115821097456433
-0.2476613247863248,3.3115821097456433
-0.24759882478632481,3.3079473051228394
-0.24753632478632479,3.3079473051228394
-0.24747382478632479,3.3115821097456433
-0.2474113247863248,3.3115821097456433
-0.24734882478632481,-0.017898924743024965
-0.24728632478632478,-0.010629315497416518
-0.24722382478632479,-0.0033597062518080714
-0.2471613247863248,-0.0033597062518080714
-0.24709882478632481,-0.0033597062518080714
-0.24703632478632478,-0.0033597062518080714
-0.24697382478632479,-0.0033597062518080714
-0.2469113247863248,-0.0033597062518080714
-0.24684882478632481,3.191633557193104
-0.24678632478632478,3.3188517189912519
-0.24672382478632479,3.3079473051228394
-0.2466613247863248,3.3152169143684476
-0.24659882478632481,3.3152169143684476
-0.24653632478632478,3.3152169143684476
-0.24647382478632479,3.3152169143684476
-0.2464113247863248,3.3115821097456433
-0.2463488247863248,0.17838052488840309
-0.24628632478632478,-0.010629315497416518
-0.24622382478632479,0.00027509837099615186
-0.2461613247863248,0.00027509837099615186
-0.2460988247863248,0.00027509837099615186
-0.24603632478632478,0.00027509837099615186
-0.24597382478632479,0.00027509837099615186
-0.2459113247863248,0.00027509837099615186
-0.2458488247863248,3.0680502000177605
-0.24578632478632478,3.3224865236140562
-0.24572382478632479,3.3115821097456433
-0.2456613247863248,3.3079473051228394
-0.2455988247863248,3.3079473051228394
-0.24553632478632478,3.3079473051228394
-0.24547382478632479,3.3079473051228394
-0.2454113247863248,3.3079473051228394
-0.2453488247863248,0.40373841150226492
-0.24528632478632478,-0.014264120120220741
-0.24522382478632479,-0.0033597062518080714
-0.2451613247863248,-0.0033597062518080714
-0.2450988247863248,-0.0033597062518080714
-0.24503632478632478,-0.0033597062518080714
-0.24497382478632479,-0.0033597062518080714
-0.2449113247863248,-0.0033597062518080714
-0.2448488247863248,2.8826751642547452
-0.24478632478632478,3.3188517189912519
-0.24472382478632479,3.3115821097456433
-0.2446613247863248,3.3079473051228394
